,two-yes,two-no,ya-ns,ys-na,Total,fileId,iId
110_6,0,1,1,0,2,110,6
110_7,0,0,0,2,2,110,7
110_8,0,0,0,2,2,110,8
110_9,0,1,1,0,2,110,9
110_10,0,0,0,2,2,110,10
110_11,0,0,0,2,2,110,11
110_12,0,0,0,2,2,110,12
110_13,1,0,0,1,2,110,13
110_14,1,0,1,0,2,110,14
110_15,0,0,0,2,2,110,15
110_16,1,0,1,0,2,110,16
110_17,2,0,0,0,2,110,17
110_18,0,0,0,2,2,110,18
110_19,0,0,0,2,2,110,19
110_20,0,0,0,2,2,110,20
110_21,1,0,0,1,2,110,21
110_22,2,0,0,0,2,110,22
110_23,2,0,0,0,2,110,23
110_24,0,0,0,2,2,110,24
110_25,0,0,0,2,2,110,25
111_0,2,0,0,0,2,111,0
111_1,2,0,0,0,2,111,1
111_2,0,0,0,2,2,111,2
111_3,2,0,0,0,2,111,3
111_4,2,0,0,0,2,111,4
111_5,2,0,0,0,2,111,5
111_6,2,0,0,0,2,111,6
111_7,2,0,0,0,2,111,7
111_8,2,0,0,0,2,111,8
111_9,2,0,0,0,2,111,9
111_10,1,0,0,1,2,111,10
111_11,0,0,0,2,2,111,11
111_12,2,0,0,0,2,111,12
111_13,2,0,0,0,2,111,13
111_14,2,0,0,0,2,111,14
111_15,2,0,0,0,2,111,15
111_16,2,0,0,0,2,111,16
111_17,2,0,0,0,2,111,17
111_18,2,0,0,0,2,111,18
111_19,2,0,0,0,2,111,19
112_0,1,0,0,1,2,112,0
112_1,1,0,0,1,2,112,1
112_2,2,0,0,0,2,112,2
112_3,2,0,0,0,2,112,3
112_4,2,0,0,0,2,112,4
112_5,2,0,0,0,2,112,5
112_6,2,0,0,0,2,112,6
112_7,2,0,0,0,2,112,7
112_8,2,0,0,0,2,112,8
112_9,2,0,0,0,2,112,9
113_0,1,1,0,0,2,113,0
113_1,2,0,0,0,2,113,1
113_3,2,0,0,0,2,113,3
113_4,2,0,0,0,2,113,4
113_5,1,0,1,0,2,113,5
113_6,2,0,0,0,2,113,6
113_7,2,0,0,0,2,113,7
113_8,2,0,0,0,2,113,8
113_9,2,0,0,0,2,113,9
113_10,0,1,1,0,2,113,10
113_11,2,0,0,0,2,113,11
113_12,1,0,0,1,2,113,12
113_13,2,0,0,0,2,113,13
113_14,2,0,0,0,2,113,14
114_0,1,0,0,1,2,114,0
114_1,2,0,0,0,2,114,1
114_2,2,0,0,0,2,114,2
114_3,2,0,0,0,2,114,3
114_4,0,0,2,0,2,114,4
114_5,1,0,1,0,2,114,5
114_6,0,0,2,0,2,114,6
114_7,1,0,1,0,2,114,7
114_8,0,0,2,0,2,114,8
114_9,0,1,1,0,2,114,9
114_10,1,0,1,0,2,114,10
114_11,2,0,0,0,2,114,11
114_12,2,0,0,0,2,114,12
114_13,2,0,0,0,2,114,13
114_14,1,0,1,0,2,114,14
114_15,2,0,0,0,2,114,15
114_16,2,0,0,0,2,114,16
114_17,0,2,0,0,2,114,17
114_18,2,0,0,0,2,114,18
114_19,2,0,0,0,2,114,19
115_0,2,0,0,0,2,115,0
115_1,2,0,0,0,2,115,1
115_5,0,1,1,0,2,115,5
115_6,0,0,0,2,2,115,6
115_8,2,0,0,0,2,115,8
115_9,1,1,0,0,2,115,9
115_10,2,0,0,0,2,115,10
115_11,2,0,0,0,2,115,11
115_12,1,0,0,1,2,115,12
115_13,2,0,0,0,2,115,13
115_14,1,0,0,1,2,115,14
115_15,2,0,0,0,2,115,15
115_16,0,0,0,2,2,115,16
115_17,1,0,0,1,2,115,17
115_18,2,0,0,0,2,115,18
115_19,1,0,0,1,2,115,19
116_0,1,1,0,0,2,116,0
116_1,1,1,0,0,2,116,1
116_2,1,0,0,1,2,116,2
116_3,1,0,1,0,2,116,3
116_4,0,0,1,1,2,116,4
116_5,1,0,1,0,2,116,5
116_6,0,0,1,1,2,116,6
116_7,1,0,1,0,2,116,7
116_8,1,0,1,0,2,116,8
116_9,1,0,1,0,2,116,9
116_10,2,0,0,0,2,116,10
116_11,2,0,0,0,2,116,11
116_12,2,0,0,0,2,116,12
116_13,2,0,0,0,2,116,13
116_14,1,0,0,1,2,116,14
116_15,2,0,0,0,2,116,15
116_16,2,0,0,0,2,116,16
116_17,2,0,0,0,2,116,17
116_18,1,0,0,1,2,116,18
116_19,1,0,0,1,2,116,19
117_0,2,0,0,0,2,117,0
117_1,1,0,1,0,2,117,1
117_2,2,0,0,0,2,117,2
117_3,2,0,0,0,2,117,3
117_4,1,0,0,1,2,117,4
117_5,1,0,0,1,2,117,5
117_6,2,0,0,0,2,117,6
117_7,0,2,0,0,2,117,7
117_8,0,0,2,0,2,117,8
117_9,0,0,2,0,2,117,9
117_10,1,0,0,1,2,117,10
117_11,2,0,0,0,2,117,11
117_12,2,0,0,0,2,117,12
117_13,2,0,0,0,2,117,13
117_14,1,0,1,0,2,117,14
117_15,1,0,1,0,2,117,15
117_16,2,0,0,0,2,117,16
117_17,2,0,0,0,2,117,17
117_18,0,0,0,2,2,117,18
117_19,0,0,0,2,2,117,19
117_20,2,0,0,0,2,117,20
117_21,2,0,0,0,2,117,21
117_22,1,0,0,1,2,117,22
117_23,2,0,0,0,2,117,23
117_24,2,0,0,0,2,117,24
117_25,1,0,0,1,2,117,25
117_26,0,0,0,2,2,117,26
117_27,0,0,0,2,2,117,27
117_28,2,0,0,0,2,117,28
118_0,1,0,0,1,2,118,0
118_1,2,0,0,0,2,118,1
118_2,1,0,0,1,2,118,2
118_3,1,0,0,1,2,118,3
118_4,1,0,0,1,2,118,4
118_5,2,0,0,0,2,118,5
118_6,1,0,0,1,2,118,6
118_7,2,0,0,0,2,118,7
118_8,1,0,0,1,2,118,8
118_9,1,0,0,1,2,118,9
118_10,1,0,0,1,2,118,10
118_11,1,0,0,1,2,118,11
118_12,1,0,0,1,2,118,12
118_13,2,0,0,0,2,118,13
118_14,1,0,0,1,2,118,14
118_15,1,0,0,1,2,118,15
118_16,2,0,0,0,2,118,16
118_17,1,1,0,0,2,118,17
118_18,1,0,0,1,2,118,18
118_19,1,0,0,1,2,118,19
118_20,2,0,0,0,2,118,20
118_21,2,0,0,0,2,118,21
118_22,1,0,0,1,2,118,22
118_23,1,1,0,0,2,118,23
118_24,0,1,1,0,2,118,24
119_0,1,0,0,1,2,119,0
119_1,2,0,0,0,2,119,1
119_2,0,0,2,0,2,119,2
119_3,2,0,0,0,2,119,3
119_4,2,0,0,0,2,119,4
119_5,1,0,0,1,2,119,5
119_6,0,0,2,0,2,119,6
119_7,0,0,2,0,2,119,7
119_8,1,0,0,1,2,119,8
119_9,1,0,0,1,2,119,9
119_10,2,0,0,0,2,119,10
119_11,1,0,0,1,2,119,11
119_12,2,0,0,0,2,119,12
119_13,2,0,0,0,2,119,13
119_14,2,0,0,0,2,119,14
119_15,1,0,0,1,2,119,15
119_16,1,0,0,1,2,119,16
119_17,2,0,0,0,2,119,17
119_18,2,0,0,0,2,119,18
119_19,2,0,0,0,2,119,19
120_0,2,0,0,0,2,120,0
120_1,2,0,0,0,2,120,1
120_2,2,0,0,0,2,120,2
120_3,1,0,1,0,2,120,3
120_4,1,0,1,0,2,120,4
120_5,1,1,0,0,2,120,5
120_6,1,0,1,0,2,120,6
120_7,1,0,1,0,2,120,7
120_8,1,0,1,0,2,120,8
120_9,2,0,0,0,2,120,9
120_10,2,0,0,0,2,120,10
120_11,2,0,0,0,2,120,11
120_12,2,0,0,0,2,120,12
120_13,2,0,0,0,2,120,13
120_14,2,0,0,0,2,120,14
120_15,2,0,0,0,2,120,15
121_0,1,0,0,1,2,121,0
121_1,2,0,0,0,2,121,1
121_2,2,0,0,0,2,121,2
121_3,1,0,0,1,2,121,3
121_4,2,0,0,0,2,121,4
121_5,1,0,0,1,2,121,5
121_6,1,1,0,0,2,121,6
121_7,1,0,0,1,2,121,7
121_8,1,0,0,1,2,121,8
121_9,2,0,0,0,2,121,9
121_10,0,0,1,1,2,121,10
121_11,1,0,1,0,2,121,11
121_12,0,1,0,1,2,121,12
121_13,0,0,1,1,2,121,13
121_14,1,1,0,0,2,121,14
121_15,1,0,1,0,2,121,15
121_16,0,0,1,1,2,121,16
121_17,1,1,0,0,2,121,17
121_18,1,1,0,0,2,121,18
121_19,1,0,1,0,2,121,19
122_0,0,0,0,2,2,122,0
122_1,2,0,0,0,2,122,1
122_2,1,0,0,1,2,122,2
122_3,2,0,0,0,2,122,3
122_4,1,0,0,1,2,122,4
122_5,2,0,0,0,2,122,5
122_6,2,0,0,0,2,122,6
122_7,2,0,0,0,2,122,7
122_8,1,0,0,1,2,122,8
122_9,1,0,0,1,2,122,9
122_10,2,0,0,0,2,122,10
122_11,2,0,0,0,2,122,11
122_12,2,0,0,0,2,122,12
122_13,1,0,0,1,2,122,13
122_14,1,1,0,0,2,122,14
122_15,2,0,0,0,2,122,15
122_16,0,0,2,0,2,122,16
122_17,0,0,2,0,2,122,17
122_18,2,0,0,0,2,122,18
122_19,0,1,1,0,2,122,19
123_0,2,0,0,0,2,123,0
123_1,2,0,0,0,2,123,1
123_2,2,0,0,0,2,123,2
123_3,1,0,0,1,2,123,3
123_4,2,0,0,0,2,123,4
123_5,2,0,0,0,2,123,5
123_6,1,0,0,1,2,123,6
123_7,2,0,0,0,2,123,7
123_8,2,0,0,0,2,123,8
123_9,2,0,0,0,2,123,9
123_10,2,0,0,0,2,123,10
123_11,0,1,1,0,2,123,11
123_12,0,0,0,2,2,123,12
123_13,1,0,0,1,2,123,13
123_14,0,0,2,0,2,123,14
123_15,2,0,0,0,2,123,15
123_16,0,0,2,0,2,123,16
123_17,2,0,0,0,2,123,17
123_18,1,1,0,0,2,123,18
123_19,1,0,0,1,2,123,19
124_0,2,0,0,0,2,124,0
124_1,2,0,0,0,2,124,1
124_2,1,0,0,1,2,124,2
124_3,1,0,0,1,2,124,3
124_4,2,0,0,0,2,124,4
124_5,2,0,0,0,2,124,5
124_6,2,0,0,0,2,124,6
124_7,1,0,0,1,2,124,7
124_8,1,0,0,1,2,124,8
124_9,1,0,0,1,2,124,9
124_10,1,0,0,1,2,124,10
124_11,2,0,0,0,2,124,11
124_12,1,0,0,1,2,124,12
124_13,1,0,1,0,2,124,13
124_14,1,0,0,1,2,124,14
124_15,1,0,0,1,2,124,15
124_16,0,1,1,0,2,124,16
124_17,0,0,0,2,2,124,17
124_18,1,0,0,1,2,124,18
124_19,0,2,0,0,2,124,19
125_0,1,0,0,1,2,125,0
125_1,2,0,0,0,2,125,1
125_2,2,0,0,0,2,125,2
125_3,2,0,0,0,2,125,3
125_4,2,0,0,0,2,125,4
125_5,2,0,0,0,2,125,5
125_6,1,0,0,1,2,125,6
125_7,2,0,0,0,2,125,7
125_8,2,0,0,0,2,125,8
125_9,2,0,0,0,2,125,9
125_10,1,0,0,1,2,125,10
125_11,0,1,1,0,2,125,11
125_12,1,0,0,1,2,125,12
125_13,1,0,0,1,2,125,13
125_14,0,0,2,0,2,125,14
125_15,2,0,0,0,2,125,15
125_16,0,0,2,0,2,125,16
125_17,2,0,0,0,2,125,17
125_18,2,0,0,0,2,125,18
125_19,1,0,1,0,2,125,19
126_0,2,0,0,0,2,126,0
126_1,2,0,0,0,2,126,1
126_2,2,0,0,0,2,126,2
126_3,2,0,0,0,2,126,3
126_4,2,0,0,0,2,126,4
126_5,1,0,0,1,2,126,5
126_6,1,0,0,1,2,126,6
126_7,2,0,0,0,2,126,7
126_8,2,0,0,0,2,126,8
126_9,0,0,1,1,2,126,9
126_10,2,0,0,0,2,126,10
126_11,1,0,0,1,2,126,11
126_12,2,0,0,0,2,126,12
126_13,2,0,0,0,2,126,13
126_14,2,0,0,0,2,126,14
126_15,1,0,0,1,2,126,15
126_16,1,0,1,0,2,126,16
126_17,1,0,0,1,2,126,17
126_18,1,0,0,1,2,126,18
126_19,2,0,0,0,2,126,19
126_20,1,0,0,1,2,126,20
126_21,0,1,1,0,2,126,21
126_22,2,0,0,0,2,126,22
126_23,1,0,0,1,2,126,23
126_24,2,0,0,0,2,126,24
126_25,0,0,2,0,2,126,25
126_26,2,0,0,0,2,126,26
126_27,2,0,0,0,2,126,27
126_28,1,1,0,0,2,126,28
126_29,2,0,0,0,2,126,29
126_30,0,0,1,1,2,126,30
126_31,1,1,0,0,2,126,31
126_32,1,1,0,0,2,126,32
126_33,1,0,1,0,2,126,33
126_34,0,1,0,1,2,126,34
126_35,1,0,1,0,2,126,35
126_36,1,0,1,0,2,126,36
126_37,1,1,0,0,2,126,37
126_38,1,1,0,0,2,126,38
126_39,1,1,0,0,2,126,39
127_0,2,0,0,0,2,127,0
127_1,0,0,2,0,2,127,1
127_2,2,0,0,0,2,127,2
127_3,2,0,0,0,2,127,3
127_4,2,0,0,0,2,127,4
127_5,2,0,0,0,2,127,5
127_6,2,0,0,0,2,127,6
127_7,2,0,0,0,2,127,7
127_8,2,0,0,0,2,127,8
127_9,2,0,0,0,2,127,9
127_10,1,0,1,0,2,127,10
127_11,1,0,1,0,2,127,11
127_12,0,1,1,0,2,127,12
127_13,0,1,0,1,2,127,13
127_14,1,0,1,0,2,127,14
127_15,1,0,1,0,2,127,15
127_16,1,0,1,0,2,127,16
127_17,0,0,1,1,2,127,17
127_18,1,0,1,0,2,127,18
127_19,1,0,1,0,2,127,19
128_0,2,0,0,0,2,128,0
128_1,2,0,0,0,2,128,1
128_2,2,0,0,0,2,128,2
128_3,2,0,0,0,2,128,3
128_4,2,0,0,0,2,128,4
128_6,2,0,0,0,2,128,6
128_7,2,0,0,0,2,128,7
128_8,2,0,0,0,2,128,8
128_9,0,0,2,0,2,128,9
128_10,0,1,0,1,2,128,10
128_11,1,0,1,0,2,128,11
128_12,1,0,1,0,2,128,12
128_13,1,0,1,0,2,128,13
128_14,1,0,1,0,2,128,14
128_15,1,0,1,0,2,128,15
128_16,1,0,1,0,2,128,16
128_17,1,0,1,0,2,128,17
128_18,2,0,0,0,2,128,18
128_19,1,0,1,0,2,128,19
129_0,1,0,0,1,2,129,0
129_1,2,0,0,0,2,129,1
129_2,2,0,0,0,2,129,2
129_3,2,0,0,0,2,129,3
129_4,2,0,0,0,2,129,4
129_5,2,0,0,0,2,129,5
129_6,1,0,0,1,2,129,6
129_7,1,0,0,1,2,129,7
129_8,2,0,0,0,2,129,8
129_9,1,0,0,1,2,129,9
129_10,1,0,1,0,2,129,10
129_11,1,0,1,0,2,129,11
129_12,2,0,0,0,2,129,12
129_13,0,0,2,0,2,129,13
129_14,2,0,0,0,2,129,14
129_16,2,0,0,0,2,129,16
129_17,0,0,2,0,2,129,17
129_18,0,0,2,0,2,129,18
129_19,0,0,2,0,2,129,19
129_20,1,1,0,0,2,129,20
129_21,1,1,0,0,2,129,21
129_22,0,0,1,1,2,129,22
129_23,1,1,0,0,2,129,23
129_24,1,0,1,0,2,129,24
129_25,1,1,0,0,2,129,25
129_26,1,1,0,0,2,129,26
129_27,1,1,0,0,2,129,27
129_28,2,0,0,0,2,129,28
129_29,1,0,1,0,2,129,29
130_0,2,0,0,0,2,130,0
130_1,0,1,0,1,2,130,1
130_2,2,0,0,0,2,130,2
130_3,0,0,2,0,2,130,3
130_4,2,0,0,0,2,130,4
130_5,0,0,2,0,2,130,5
130_6,1,0,1,0,2,130,6
130_7,2,0,0,0,2,130,7
130_8,0,0,2,0,2,130,8
130_9,0,1,1,0,2,130,9
130_10,2,0,0,0,2,130,10
130_12,2,0,0,0,2,130,12
130_13,2,0,0,0,2,130,13
131_0,2,0,0,0,2,131,0
131_1,2,0,0,0,2,131,1
131_2,2,0,0,0,2,131,2
131_3,2,0,0,0,2,131,3
131_4,2,0,0,0,2,131,4
131_5,2,0,0,0,2,131,5
131_6,2,0,0,0,2,131,6
131_7,2,0,0,0,2,131,7
131_8,2,0,0,0,2,131,8
131_9,2,0,0,0,2,131,9
131_10,1,0,1,0,2,131,10
131_11,1,0,1,0,2,131,11
131_12,1,0,1,0,2,131,12
131_13,1,0,1,0,2,131,13
131_14,1,0,1,0,2,131,14
131_15,0,0,2,0,2,131,15
131_16,1,0,1,0,2,131,16
131_17,0,0,2,0,2,131,17
131_18,1,1,0,0,2,131,18
131_19,1,0,1,0,2,131,19
132_0,2,0,0,0,2,132,0
132_1,2,0,0,0,2,132,1
132_2,2,0,0,0,2,132,2
132_3,2,0,0,0,2,132,3
132_4,2,0,0,0,2,132,4
132_5,2,0,0,0,2,132,5
132_6,2,0,0,0,2,132,6
132_7,2,0,0,0,2,132,7
132_8,2,0,0,0,2,132,8
132_9,2,0,0,0,2,132,9
132_10,0,0,2,0,2,132,10
132_11,2,0,0,0,2,132,11
132_12,0,1,1,0,2,132,12
132_13,0,1,1,0,2,132,13
132_14,1,0,0,1,2,132,14
132_15,1,0,0,1,2,132,15
132_16,2,0,0,0,2,132,16
133_0,1,0,0,1,2,133,0
133_1,1,0,0,1,2,133,1
133_2,1,0,0,1,2,133,2
133_3,1,0,0,1,2,133,3
133_4,1,0,0,1,2,133,4
133_5,1,0,0,1,2,133,5
133_6,1,0,0,1,2,133,6
133_7,1,0,0,1,2,133,7
133_8,1,0,0,1,2,133,8
133_9,1,0,0,1,2,133,9
133_11,0,1,0,1,2,133,11
133_12,1,0,0,1,2,133,12
133_13,1,0,1,0,2,133,13
133_14,1,0,1,0,2,133,14
133_15,1,0,1,0,2,133,15
133_16,2,0,0,0,2,133,16
133_17,1,1,0,0,2,133,17
133_18,1,0,1,0,2,133,18
133_19,1,1,0,0,2,133,19
134_0,2,0,0,0,2,134,0
134_1,0,0,0,2,2,134,1
134_2,2,0,0,0,2,134,2
134_3,2,0,0,0,2,134,3
134_4,2,0,0,0,2,134,4
134_5,1,0,0,1,2,134,5
134_6,2,0,0,0,2,134,6
134_7,2,0,0,0,2,134,7
134_8,2,0,0,0,2,134,8
134_9,2,0,0,0,2,134,9
134_10,1,0,1,0,2,134,10
134_11,2,0,0,0,2,134,11
134_12,1,0,1,0,2,134,12
134_13,1,0,1,0,2,134,13
134_14,1,0,1,0,2,134,14
134_15,1,1,0,0,2,134,15
134_16,1,0,1,0,2,134,16
134_17,2,0,0,0,2,134,17
134_18,2,0,0,0,2,134,18
134_19,2,0,0,0,2,134,19
135_0,1,0,0,1,2,135,0
135_1,2,0,0,0,2,135,1
135_2,2,0,0,0,2,135,2
135_3,1,0,1,0,2,135,3
135_4,1,0,0,1,2,135,4
135_5,1,0,0,1,2,135,5
135_6,2,0,0,0,2,135,6
135_8,1,1,0,0,2,135,8
135_9,1,0,1,0,2,135,9
135_10,1,1,0,0,2,135,10
135_11,1,1,0,0,2,135,11
135_12,0,0,1,1,2,135,12
135_13,1,1,0,0,2,135,13
135_14,2,0,0,0,2,135,14
135_15,2,0,0,0,2,135,15
135_16,0,0,1,1,2,135,16
135_17,2,0,0,0,2,135,17
135_18,1,0,1,0,2,135,18
135_19,1,0,1,0,2,135,19
136_0,2,0,0,0,2,136,0
136_1,2,0,0,0,2,136,1
136_2,2,0,0,0,2,136,2
136_3,2,0,0,0,2,136,3
136_4,2,0,0,0,2,136,4
136_5,2,0,0,0,2,136,5
136_6,2,0,0,0,2,136,6
136_7,2,0,0,0,2,136,7
136_8,2,0,0,0,2,136,8
136_9,2,0,0,0,2,136,9
136_10,2,0,0,0,2,136,10
136_11,1,0,1,0,2,136,11
136_12,2,0,0,0,2,136,12
136_13,2,0,0,0,2,136,13
136_14,1,0,1,0,2,136,14
136_15,2,0,0,0,2,136,15
136_17,0,0,2,0,2,136,17
136_18,0,0,2,0,2,136,18
136_19,2,0,0,0,2,136,19
136_20,1,0,0,1,2,136,20
136_21,0,0,2,0,2,136,21
136_22,1,1,0,0,2,136,22
136_23,0,0,2,0,2,136,23
136_24,1,0,0,1,2,136,24
136_25,0,1,1,0,2,136,25
136_26,1,0,1,0,2,136,26
136_27,0,0,2,0,2,136,27
137_0,1,0,1,0,2,137,0
137_1,1,0,1,0,2,137,1
137_2,1,0,1,0,2,137,2
137_3,2,0,0,0,2,137,3
137_4,1,0,1,0,2,137,4
137_5,1,0,1,0,2,137,5
137_6,1,0,1,0,2,137,6
137_7,1,0,1,0,2,137,7
137_8,1,0,1,0,2,137,8
137_9,1,0,1,0,2,137,9
137_10,2,0,0,0,2,137,10
137_11,2,0,0,0,2,137,11
137_12,2,0,0,0,2,137,12
137_13,1,0,1,0,2,137,13
137_14,2,0,0,0,2,137,14
137_15,2,0,0,0,2,137,15
137_16,2,0,0,0,2,137,16
137_17,2,0,0,0,2,137,17
137_18,2,0,0,0,2,137,18
137_19,2,0,0,0,2,137,19
138_0,1,0,0,1,2,138,0
138_1,1,0,1,0,2,138,1
138_2,2,0,0,0,2,138,2
138_3,1,0,1,0,2,138,3
138_4,2,0,0,0,2,138,4
138_5,0,0,1,1,2,138,5
138_6,0,1,0,1,2,138,6
138_7,0,1,0,1,2,138,7
138_8,1,1,0,0,2,138,8
138_9,1,0,0,1,2,138,9
138_10,0,1,1,0,2,138,10
138_11,2,0,0,0,2,138,11
138_12,2,0,0,0,2,138,12
138_13,1,0,1,0,2,138,13
138_14,0,0,2,0,2,138,14
138_15,2,0,0,0,2,138,15
138_16,2,0,0,0,2,138,16
138_17,1,0,1,0,2,138,17
138_18,1,0,1,0,2,138,18
138_20,2,0,0,0,2,138,20
138_21,2,0,0,0,2,138,21
138_22,0,1,1,0,2,138,22
138_23,1,0,1,0,2,138,23
138_24,2,0,0,0,2,138,24
139_0,2,0,0,0,2,139,0
139_1,2,0,0,0,2,139,1
139_2,1,0,1,0,2,139,2
139_3,2,0,0,0,2,139,3
139_4,1,0,0,1,2,139,4
139_5,0,0,0,2,2,139,5
139_6,2,0,0,0,2,139,6
139_7,1,0,0,1,2,139,7
139_8,2,0,0,0,2,139,8
139_9,2,0,0,0,2,139,9
139_10,0,1,0,1,2,139,10
139_11,1,0,1,0,2,139,11
139_12,2,0,0,0,2,139,12
139_13,0,0,1,1,2,139,13
139_14,2,0,0,0,2,139,14
139_15,1,0,1,0,2,139,15
139_16,2,0,0,0,2,139,16
139_17,1,0,1,0,2,139,17
139_18,1,0,1,0,2,139,18
139_19,1,1,0,0,2,139,19
140_0,2,0,0,0,2,140,0
140_1,2,0,0,0,2,140,1
140_2,2,0,0,0,2,140,2
140_3,2,0,0,0,2,140,3
140_4,2,0,0,0,2,140,4
140_5,2,0,0,0,2,140,5
140_6,2,0,0,0,2,140,6
140_7,2,0,0,0,2,140,7
140_8,2,0,0,0,2,140,8
140_9,1,0,1,0,2,140,9
140_10,1,0,1,0,2,140,10
140_11,1,0,1,0,2,140,11
140_12,1,0,1,0,2,140,12
140_13,1,0,1,0,2,140,13
140_14,1,0,1,0,2,140,14
140_15,1,0,1,0,2,140,15
140_16,1,0,1,0,2,140,16
140_17,1,0,1,0,2,140,17
140_18,1,0,1,0,2,140,18
140_19,1,0,1,0,2,140,19
141_0,2,0,0,0,2,141,0
141_1,2,0,0,0,2,141,1
141_2,2,0,0,0,2,141,2
141_3,2,0,0,0,2,141,3
141_4,2,0,0,0,2,141,4
141_5,2,0,0,0,2,141,5
141_6,2,0,0,0,2,141,6
141_7,2,0,0,0,2,141,7
141_8,2,0,0,0,2,141,8
141_9,1,0,1,0,2,141,9
141_10,2,0,0,0,2,141,10
141_11,2,0,0,0,2,141,11
141_12,2,0,0,0,2,141,12
141_13,2,0,0,0,2,141,13
141_14,1,0,0,1,2,141,14
141_15,1,0,0,1,2,141,15
141_16,1,0,0,1,2,141,16
141_17,0,0,2,0,2,141,17
141_18,0,0,2,0,2,141,18
141_19,1,1,0,0,2,141,19
141_20,1,0,1,0,2,141,20
141_21,1,0,1,0,2,141,21
141_22,1,0,1,0,2,141,22
141_23,1,0,1,0,2,141,23
141_24,1,0,1,0,2,141,24
141_25,0,1,0,1,2,141,25
141_26,1,0,1,0,2,141,26
141_27,0,1,0,1,2,141,27
141_28,0,1,0,1,2,141,28
141_29,1,0,1,0,2,141,29
142_0,2,0,0,0,2,142,0
142_1,2,0,0,0,2,142,1
142_2,2,0,0,0,2,142,2
142_3,2,0,0,0,2,142,3
142_4,2,0,0,0,2,142,4
142_5,2,0,0,0,2,142,5
142_6,2,0,0,0,2,142,6
142_7,2,0,0,0,2,142,7
142_8,2,0,0,0,2,142,8
142_9,2,0,0,0,2,142,9
142_10,1,0,1,0,2,142,10
142_11,1,0,1,0,2,142,11
142_12,1,0,1,0,2,142,12
142_13,1,0,1,0,2,142,13
142_14,0,0,2,0,2,142,14
142_15,1,0,1,0,2,142,15
142_16,2,0,0,0,2,142,16
142_17,1,0,1,0,2,142,17
142_18,1,0,1,0,2,142,18
142_19,1,0,1,0,2,142,19
143_0,1,0,1,0,2,143,0
143_1,1,0,1,0,2,143,1
143_2,1,0,1,0,2,143,2
143_3,1,0,1,0,2,143,3
143_4,1,0,1,0,2,143,4
143_5,1,0,1,0,2,143,5
143_6,1,0,1,0,2,143,6
143_7,2,0,0,0,2,143,7
143_8,2,0,0,0,2,143,8
143_9,1,0,1,0,2,143,9
144_0,1,0,1,0,2,144,0
144_1,2,0,0,0,2,144,1
144_2,1,0,1,0,2,144,2
144_3,1,0,1,0,2,144,3
144_4,1,0,1,0,2,144,4
144_5,1,0,1,0,2,144,5
144_6,2,0,0,0,2,144,6
144_7,1,0,1,0,2,144,7
144_8,1,1,0,0,2,144,8
144_9,1,1,0,0,2,144,9
144_10,2,0,0,0,2,144,10
144_11,2,0,0,0,2,144,11
144_12,2,0,0,0,2,144,12
144_13,2,0,0,0,2,144,13
144_14,2,0,0,0,2,144,14
144_15,2,0,0,0,2,144,15
144_16,2,0,0,0,2,144,16
144_17,2,0,0,0,2,144,17
144_18,2,0,0,0,2,144,18
144_19,2,0,0,0,2,144,19
145_0,1,0,0,1,2,145,0
145_1,1,0,0,1,2,145,1
145_2,2,0,0,0,2,145,2
145_3,2,0,0,0,2,145,3
145_4,2,0,0,0,2,145,4
145_5,2,0,0,0,2,145,5
145_6,2,0,0,0,2,145,6
145_7,2,0,0,0,2,145,7
145_8,2,0,0,0,2,145,8
145_9,2,0,0,0,2,145,9
145_10,1,0,1,0,2,145,10
145_11,1,0,1,0,2,145,11
145_12,1,0,1,0,2,145,12
145_13,1,0,0,1,2,145,13
145_14,1,0,1,0,2,145,14
145_15,1,0,1,0,2,145,15
145_16,0,0,2,0,2,145,16
145_17,1,0,1,0,2,145,17
145_18,1,0,1,0,2,145,18
145_19,2,0,0,0,2,145,19
146_0,0,0,0,2,2,146,0
146_1,0,1,0,1,2,146,1
146_2,0,1,0,1,2,146,2
146_3,0,0,1,1,2,146,3
146_4,0,0,0,2,2,146,4
146_5,0,0,1,1,2,146,5
146_6,0,0,1,1,2,146,6
146_7,0,0,1,1,2,146,7
146_8,0,1,0,1,2,146,8
146_9,0,1,0,1,2,146,9
147_0,1,0,0,1,2,147,0
147_1,0,0,2,0,2,147,1
147_2,2,0,0,0,2,147,2
147_3,1,0,1,0,2,147,3
147_4,0,1,0,1,2,147,4
147_5,0,0,2,0,2,147,5
147_6,0,0,2,0,2,147,6
147_7,2,0,0,0,2,147,7
147_8,0,0,2,0,2,147,8
147_9,0,0,0,2,2,147,9
147_10,1,0,1,0,2,147,10
147_11,2,0,0,0,2,147,11
147_12,0,0,1,1,2,147,12
147_13,1,0,0,1,2,147,13
147_14,2,0,0,0,2,147,14
147_15,2,0,0,0,2,147,15
147_16,2,0,0,0,2,147,16
147_17,0,0,0,2,2,147,17
147_18,2,0,0,0,2,147,18
147_19,2,0,0,0,2,147,19
148_0,1,0,1,0,2,148,0
148_1,1,0,1,0,2,148,1
148_2,0,0,2,0,2,148,2
148_3,2,0,0,0,2,148,3
148_4,2,0,0,0,2,148,4
148_5,2,0,0,0,2,148,5
148_6,2,0,0,0,2,148,6
148_7,2,0,0,0,2,148,7
148_8,2,0,0,0,2,148,8
