,Edita,Andrei,Meli,Alina,Liviu,Oana,Silviu,Mada
352_1,3.0,,,,3.0,,,
352_2,3.0,,,,3.0,,,
352_3,1.0,,,,1.0,,,
352_4,3.0,,,,3.0,,,
352_5,1.0,,,,1.0,,,
352_6,3.0,,,,1.0,,,
352_7,3.0,,,,3.0,,,
352_8,1.0,,,,1.0,,,
352_9,3.0,,,,3.0,,,
352_10,3.0,,,,3.0,,,
352_11,3.0,,,,3.0,,,
352_12,3.0,,,,3.0,,,
352_13,3.0,,,,1.0,,,
352_14,3.0,,,,3.0,,,
352_15,3.0,,,,3.0,,,
352_16,3.0,,,,3.0,,,
352_17,3.0,,,,3.0,,,
352_18,3.0,,,,3.0,,,
352_19,3.0,,,,3.0,,,
353_0,3.0,,,,3.0,,,
353_1,3.0,,,,3.0,,,
353_2,3.0,,,,3.0,,,
353_3,3.0,,,,3.0,,,
353_4,3.0,,,,3.0,,,
353_5,3.0,,,,3.0,,,
353_6,1.0,,,,3.0,,,
353_7,3.0,,,,3.0,,,
353_8,3.0,,,,3.0,,,
353_9,3.0,,,,3.0,,,
354_0,3.0,,,,3.0,,,
354_1,3.0,,,,3.0,,,
354_2,3.0,,,,3.0,,,
354_3,3.0,,,,3.0,,,
354_4,3.0,,,,1.0,,,
354_5,3.0,,,,3.0,,,
354_6,3.0,,,,3.0,,,
354_7,1.0,,,,1.0,,,
354_8,1.0,,,,1.0,,,
354_9,3.0,,,,3.0,,,
354_10,3.0,,,,3.0,,,
354_11,3.0,,,,3.0,,,
354_12,3.0,,,,3.0,,,
354_13,3.0,,,,3.0,,,
354_14,3.0,,,,3.0,,,
354_15,3.0,,,,3.0,,,
354_16,3.0,,,,1.0,,,
354_17,3.0,,,,3.0,,,
354_18,3.0,,,,3.0,,,
355_0,3.0,3.0,,,,,,
355_1,3.0,3.0,,,,,,
355_2,3.0,3.0,,,,,,
355_3,3.0,3.0,,,,,,
355_4,3.0,3.0,,,,,,
356_0,3.0,3.0,,,,,,
356_1,3.0,3.0,,,,,,
356_2,3.0,3.0,,,,,,
356_3,3.0,3.0,,,,,,
356_4,3.0,3.0,,,,,,
356_5,3.0,3.0,,,,,,
356_6,3.0,3.0,,,,,,
356_7,3.0,3.0,,,,,,
356_8,3.0,3.0,,,,,,
356_9,3.0,3.0,,,,,,
356_10,3.0,3.0,,,,,,
356_11,3.0,3.0,,,,,,
356_12,3.0,3.0,,,,,,
356_13,3.0,3.0,,,,,,
356_14,3.0,3.0,,,,,,
356_15,3.0,3.0,,,,,,
356_16,3.0,3.0,,,,,,
356_17,3.0,3.0,,,,,,
356_18,3.0,3.0,,,,,,
356_19,3.0,3.0,,,,,,
378_0,3.0,,3.0,,,,,
378_1,3.0,,3.0,,,,,
378_2,3.0,,3.0,,,,,
378_3,3.0,,3.0,,,,,
378_4,3.0,,3.0,,,,,
378_5,3.0,,3.0,,,,,
378_6,3.0,,3.0,,,,,
378_7,3.0,,3.0,,,,,
378_8,3.0,,3.0,,,,,
378_9,1.0,,3.0,,,,,
378_10,3.0,,3.0,,,,,
378_11,3.0,,3.0,,,,,
378_12,3.0,,3.0,,,,,
378_13,3.0,,3.0,,,,,
378_14,3.0,,3.0,,,,,
378_15,3.0,,3.0,,,,,
378_16,3.0,,3.0,,,,,
378_17,3.0,,3.0,,,,,
378_18,3.0,,3.0,,,,,
378_19,3.0,,3.0,,,,,
379_0,3.0,,3.0,,,,,
379_1,3.0,,3.0,,,,,
379_2,3.0,,3.0,,,,,
379_3,3.0,,3.0,,,,,
379_4,3.0,,3.0,,,,,
379_5,3.0,,3.0,,,,,
379_6,3.0,,3.0,,,,,
379_7,3.0,,3.0,,,,,
379_8,3.0,,3.0,,,,,
379_9,3.0,,3.0,,,,,
379_10,3.0,,3.0,,,,,
379_11,1.0,,3.0,,,,,
379_12,3.0,,3.0,,,,,
379_13,1.0,,3.0,,,,,
379_14,1.0,,3.0,,,,,
379_15,3.0,,3.0,,,,,
379_16,1.0,,3.0,,,,,
379_17,3.0,,1.0,,,,,
379_18,1.0,,3.0,,,,,
379_19,3.0,,3.0,,,,,
379_20,3.0,,3.0,,,,,
379_21,1.0,,3.0,,,,,
379_22,3.0,,3.0,,,,,
379_23,3.0,,3.0,,,,,
379_24,3.0,,3.0,,,,,
379_25,1.0,,3.0,,,,,
379_26,3.0,,3.0,,,,,
379_27,3.0,,3.0,,,,,
379_28,3.0,,3.0,,,,,
379_29,3.0,,3.0,,,,,
380_0,3.0,,3.0,,,,,
380_1,3.0,,3.0,,,,,
380_2,3.0,,3.0,,,,,
380_3,3.0,,3.0,,,,,
380_4,3.0,,3.0,,,,,
380_5,3.0,,3.0,,,,,
358_0,3.0,,3.0,,,,,
358_1,3.0,,3.0,,,,,
358_2,3.0,,3.0,,,,,
358_3,3.0,,3.0,,,,,
358_4,3.0,,3.0,,,,,
358_5,1.0,,3.0,,,,,
358_6,3.0,,3.0,,,,,
358_7,3.0,,1.0,,,,,
358_8,3.0,,3.0,,,,,
358_9,1.0,,1.0,,,,,
358_10,1.0,,1.0,,,,,
358_11,1.0,,1.0,,,,,
358_12,3.0,,3.0,,,,,
358_13,1.0,,3.0,,,,,
358_14,3.0,,3.0,,,,,
358_15,3.0,,3.0,,,,,
358_16,1.0,,1.0,,,,,
358_17,3.0,,3.0,,,,,
358_18,3.0,,3.0,,,,,
358_19,3.0,,3.0,,,,,
358_20,3.0,,3.0,,,,,
358_21,3.0,,3.0,,,,,
358_22,3.0,,3.0,,,,,
358_23,1.0,,1.0,,,,,
358_24,3.0,,3.0,,,,,
358_25,3.0,,3.0,,,,,
358_26,3.0,,3.0,,,,,
358_27,1.0,,1.0,,,,,
358_28,3.0,,3.0,,,,,
358_29,1.0,,1.0,,,,,
381_0,3.0,,3.0,,,,,
381_1,3.0,,3.0,,,,,
381_2,3.0,,3.0,,,,,
381_3,3.0,,3.0,,,,,
381_4,3.0,,3.0,,,,,
381_5,3.0,,3.0,,,,,
381_6,3.0,,3.0,,,,,
381_7,3.0,,3.0,,,,,
381_8,3.0,,3.0,,,,,
381_9,3.0,,3.0,,,,,
381_10,3.0,,3.0,,,,,
381_11,3.0,,3.0,,,,,
381_12,3.0,,3.0,,,,,
381_13,3.0,,3.0,,,,,
381_15,3.0,,3.0,,,,,
381_16,3.0,,1.0,,,,,
381_17,3.0,,3.0,,,,,
381_18,3.0,,3.0,,,,,
381_19,3.0,,3.0,,,,,
359_0,3.0,,3.0,,,,,
359_1,1.0,,3.0,,,,,
359_2,3.0,,3.0,,,,,
359_3,1.0,,3.0,,,,,
359_4,1.0,,1.0,,,,,
359_5,1.0,,1.0,,,,,
359_6,3.0,,1.0,,,,,
359_7,3.0,,3.0,,,,,
359_8,3.0,,3.0,,,,,
359_9,1.0,,3.0,,,,,
359_10,3.0,,3.0,,,,,
359_11,3.0,,3.0,,,,,
359_12,3.0,,3.0,,,,,
359_13,3.0,,3.0,,,,,
359_14,3.0,,3.0,,,,,
359_15,3.0,,3.0,,,,,
359_16,3.0,,3.0,,,,,
359_17,3.0,,3.0,,,,,
359_18,3.0,,3.0,,,,,
359_19,3.0,,3.0,,,,,
382_0,3.0,,3.0,,,,,
382_1,3.0,,3.0,,,,,
382_2,3.0,,3.0,,,,,
382_3,3.0,,3.0,,,,,
382_4,3.0,,3.0,,,,,
382_5,3.0,,3.0,,,,,
382_6,3.0,,3.0,,,,,
382_7,3.0,,3.0,,,,,
382_8,3.0,,3.0,,,,,
382_9,1.0,,3.0,,,,,
382_10,3.0,,3.0,,,,,
382_11,1.0,,3.0,,,,,
382_12,3.0,,1.0,,,,,
382_13,3.0,,1.0,,,,,
382_14,1.0,,3.0,,,,,
382_15,3.0,,1.0,,,,,
382_16,3.0,,1.0,,,,,
382_17,1.0,,3.0,,,,,
382_18,3.0,,1.0,,,,,
382_19,1.0,,3.0,,,,,
382_20,3.0,,3.0,,,,,
382_21,1.0,,3.0,,,,,
382_22,3.0,,3.0,,,,,
382_23,3.0,,3.0,,,,,
382_24,1.0,,1.0,,,,,
382_25,3.0,,3.0,,,,,
382_26,1.0,,1.0,,,,,
382_27,1.0,,1.0,,,,,
382_28,3.0,,3.0,,,,,
382_29,3.0,,3.0,,,,,
360_0,1.0,,3.0,,,,,
360_1,3.0,,3.0,,,,,
360_2,3.0,,3.0,,,,,
360_3,3.0,,3.0,,,,,
360_4,3.0,,1.0,,,,,
360_5,3.0,,1.0,,,,,
360_6,3.0,,3.0,,,,,
360_7,3.0,,1.0,,,,,
360_8,3.0,,1.0,,,,,
360_9,1.0,,3.0,,,,,
360_10,3.0,,1.0,,,,,
360_11,3.0,,3.0,,,,,
360_12,3.0,,3.0,,,,,
360_13,3.0,,3.0,,,,,
360_14,3.0,,3.0,,,,,
360_15,3.0,,3.0,,,,,
360_16,3.0,,3.0,,,,,
360_17,3.0,,3.0,,,,,
360_18,3.0,,3.0,,,,,
360_19,3.0,,3.0,,,,,
388_0,1.0,,,,,1.0,,
388_1,3.0,,,,,3.0,,
388_2,1.0,,,,,3.0,,
388_3,1.0,,,,,1.0,,
388_5,1.0,,,,,3.0,,
388_6,3.0,,,,,3.0,,
388_7,3.0,,,,,3.0,,
388_8,3.0,,,,,3.0,,
388_9,3.0,,,,,3.0,,
388_10,1.0,,,,,1.0,,
388_11,3.0,,,,,3.0,,
388_12,3.0,,,,,3.0,,
388_13,3.0,,,,,1.0,,
388_14,3.0,,,,,3.0,,
388_15,3.0,,,,,1.0,,
388_16,3.0,,,,,1.0,,
388_17,3.0,,,,,3.0,,
388_18,3.0,,,,,3.0,,
388_19,3.0,,,,,1.0,,
383_0,3.0,,3.0,,,,,
383_1,3.0,,3.0,,,,,
383_2,3.0,,3.0,,,,,
383_3,3.0,,3.0,,,,,
383_4,1.0,,3.0,,,,,
383_6,3.0,,3.0,,,,,
383_7,3.0,,3.0,,,,,
383_8,3.0,,3.0,,,,,
383_9,3.0,,3.0,,,,,
383_10,3.0,,3.0,,,,,
383_11,1.0,,1.0,,,,,
383_12,3.0,,3.0,,,,,
383_13,1.0,,3.0,,,,,
383_14,3.0,,3.0,,,,,
383_15,3.0,,3.0,,,,,
383_16,3.0,,3.0,,,,,
383_17,1.0,,3.0,,,,,
383_18,1.0,,1.0,,,,,
383_19,3.0,,3.0,,,,,
383_20,3.0,,3.0,,,,,
383_21,3.0,,3.0,,,,,
383_22,3.0,,3.0,,,,,
383_23,3.0,,1.0,,,,,
383_24,1.0,,1.0,,,,,
383_25,3.0,,3.0,,,,,
383_26,1.0,,1.0,,,,,
383_27,3.0,,3.0,,,,,
383_28,3.0,,3.0,,,,,
383_29,3.0,,3.0,,,,,
389_0,1.0,,,,,1.0,,
389_1,3.0,,,,,1.0,,
389_2,3.0,,,,,1.0,,
389_3,3.0,,,,,3.0,,
389_4,3.0,,,,,3.0,,
389_5,1.0,,,,,1.0,,
389_6,3.0,,,,,1.0,,
389_7,3.0,,,,,3.0,,
389_8,1.0,,,,,1.0,,
389_9,3.0,,,,,1.0,,
389_10,3.0,,,,,1.0,,
389_11,3.0,,,,,1.0,,
389_12,3.0,,,,,1.0,,
389_13,3.0,,,,,1.0,,
389_14,3.0,,,,,1.0,,
389_15,3.0,,,,,1.0,,
389_16,3.0,,,,,3.0,,
389_17,3.0,,,,,3.0,,
389_18,3.0,,,,,3.0,,
389_19,3.0,,,,,3.0,,
361_0,3.0,,3.0,,,,,
361_1,3.0,,3.0,,,,,
361_2,1.0,,3.0,,,,,
361_4,3.0,,3.0,,,,,
361_5,1.0,,1.0,,,,,
361_6,3.0,,3.0,,,,,
361_7,1.0,,1.0,,,,,
361_8,3.0,,3.0,,,,,
361_9,3.0,,3.0,,,,,
361_10,1.0,,1.0,,,,,
361_11,3.0,,3.0,,,,,
361_12,3.0,,3.0,,,,,
361_13,3.0,,3.0,,,,,
361_14,3.0,,3.0,,,,,
361_15,3.0,,3.0,,,,,
361_16,3.0,,3.0,,,,,
361_17,3.0,,3.0,,,,,
361_18,3.0,,3.0,,,,,
361_19,3.0,,3.0,,,,,
361_20,3.0,,3.0,,,,,
361_21,3.0,,3.0,,,,,
361_22,3.0,,3.0,,,,,
361_23,3.0,,3.0,,,,,
390_0,3.0,,,,,3.0,,
390_1,3.0,,,,,3.0,,
390_2,3.0,,,,,3.0,,
390_3,3.0,,,,,3.0,,
390_4,3.0,,,,,3.0,,
390_5,1.0,,,,,1.0,,
390_6,1.0,,,,,1.0,,
390_7,3.0,,,,,3.0,,
390_8,3.0,,,,,3.0,,
390_9,3.0,,,,,1.0,,
390_10,3.0,,,,,1.0,,
390_11,3.0,,,,,3.0,,
390_12,3.0,,,,,1.0,,
390_13,3.0,,,,,1.0,,
390_14,3.0,,,,,3.0,,
390_15,3.0,,,,,3.0,,
390_16,3.0,,,,,3.0,,
390_17,3.0,,,,,3.0,,
390_18,1.0,,,,,1.0,,
390_19,3.0,,,,,3.0,,
390_20,1.0,,,,,1.0,,
390_21,3.0,,,,,3.0,,
390_22,3.0,,,,,3.0,,
390_23,3.0,,,,,3.0,,
390_24,3.0,,,,,3.0,,
390_25,3.0,,,,,1.0,,
390_26,1.0,,,,,1.0,,
384_0,3.0,,3.0,,,,,
384_1,3.0,,1.0,,,,,
384_2,3.0,,3.0,,,,,
384_3,3.0,,3.0,,,,,
384_4,1.0,,3.0,,,,,
384_5,1.0,,3.0,,,,,
384_6,3.0,,1.0,,,,,
384_7,1.0,,3.0,,,,,
384_8,1.0,,3.0,,,,,
384_9,3.0,,1.0,,,,,
384_10,1.0,,3.0,,,,,
384_11,1.0,,3.0,,,,,
384_12,1.0,,3.0,,,,,
384_13,1.0,,3.0,,,,,
384_14,1.0,,3.0,,,,,
384_15,1.0,,3.0,,,,,
384_16,1.0,,3.0,,,,,
384_17,1.0,,3.0,,,,,
384_18,1.0,,3.0,,,,,
384_19,1.0,,3.0,,,,,
362_0,3.0,,3.0,,,,,
362_1,3.0,,3.0,,,,,
362_2,3.0,,3.0,,,,,
362_3,1.0,,3.0,,,,,
362_4,3.0,,3.0,,,,,
362_5,3.0,,3.0,,,,,
362_6,1.0,,3.0,,,,,
362_7,1.0,,3.0,,,,,
362_8,3.0,,3.0,,,,,
362_9,3.0,,3.0,,,,,
362_10,3.0,,3.0,,,,,
362_11,3.0,,3.0,,,,,
362_12,3.0,,3.0,,,,,
362_13,3.0,,3.0,,,,,
362_14,3.0,,3.0,,,,,
362_15,3.0,,3.0,,,,,
362_16,3.0,,3.0,,,,,
362_17,3.0,,3.0,,,,,
362_18,3.0,,3.0,,,,,
362_19,3.0,,3.0,,,,,
391_0,3.0,,,,,3.0,,
391_1,3.0,,,,,3.0,,
391_2,1.0,,,,,3.0,,
391_3,1.0,,,,,3.0,,
391_4,3.0,,,,,3.0,,
391_5,3.0,,,,,3.0,,
391_6,3.0,,,,,3.0,,
391_7,3.0,,,,,1.0,,
391_8,3.0,,,,,3.0,,
391_9,3.0,,,,,3.0,,
391_10,3.0,,,,,3.0,,
391_11,3.0,,,,,3.0,,
391_12,3.0,,,,,3.0,,
391_13,3.0,,,,,3.0,,
391_14,3.0,,,,,3.0,,
391_15,3.0,,,,,3.0,,
391_16,3.0,,,,,3.0,,
391_17,3.0,,,,,3.0,,
391_18,3.0,,,,,1.0,,
391_19,1.0,,,,,3.0,,
385_0,3.0,,3.0,,,,,
385_1,3.0,,3.0,,,,,
385_2,1.0,,3.0,,,,,
385_3,1.0,,3.0,,,,,
385_4,1.0,,3.0,,,,,
385_5,3.0,,3.0,,,,,
385_6,3.0,,3.0,,,,,
385_7,3.0,,3.0,,,,,
385_8,1.0,,3.0,,,,,
385_9,3.0,,3.0,,,,,
385_10,3.0,,3.0,,,,,
385_11,3.0,,3.0,,,,,
385_12,3.0,,3.0,,,,,
385_13,3.0,,3.0,,,,,
385_14,3.0,,3.0,,,,,
385_15,3.0,,3.0,,,,,
385_16,3.0,,3.0,,,,,
385_17,3.0,,3.0,,,,,
385_18,3.0,,3.0,,,,,
385_19,3.0,,3.0,,,,,
363_0,3.0,,3.0,,,,,
363_1,3.0,,3.0,,,,,
363_2,3.0,,1.0,,,,,
363_3,3.0,,3.0,,,,,
363_4,3.0,,3.0,,,,,
363_5,3.0,,3.0,,,,,
363_6,3.0,,3.0,,,,,
363_7,3.0,,3.0,,,,,
363_8,3.0,,3.0,,,,,
363_9,3.0,,3.0,,,,,
363_10,3.0,,3.0,,,,,
363_11,3.0,,3.0,,,,,
363_12,3.0,,3.0,,,,,
363_13,3.0,,3.0,,,,,
363_14,3.0,,3.0,,,,,
363_15,3.0,,3.0,,,,,
363_16,3.0,,3.0,,,,,
363_17,3.0,,3.0,,,,,
363_18,3.0,,3.0,,,,,
363_19,1.0,,3.0,,,,,
392_0,1.0,,,,,1.0,,
392_1,1.0,,,,,1.0,,
392_2,3.0,,,,,1.0,,
392_3,3.0,,,,,1.0,,
392_4,3.0,,,,,1.0,,
392_5,3.0,,,,,1.0,,
392_6,3.0,,,,,1.0,,
392_7,1.0,,,,,1.0,,
392_8,3.0,,,,,1.0,,
392_9,3.0,,,,,1.0,,
392_10,3.0,,,,,1.0,,
392_11,3.0,,,,,1.0,,
392_12,3.0,,,,,1.0,,
392_13,3.0,,,,,1.0,,
392_14,3.0,,,,,1.0,,
392_15,3.0,,,,,1.0,,
392_16,1.0,,,,,1.0,,
392_17,3.0,,,,,1.0,,
392_18,3.0,,,,,1.0,,
392_19,3.0,,,,,1.0,,
393_0,3.0,,,,,3.0,,
393_1,3.0,,,,,3.0,,
393_2,3.0,,,,,3.0,,
393_3,3.0,,,,,3.0,,
393_4,3.0,,,,,3.0,,
393_5,3.0,,,,,3.0,,
393_6,3.0,,,,,3.0,,
393_7,3.0,,,,,3.0,,
393_8,3.0,,,,,3.0,,
393_9,3.0,,,,,3.0,,
393_10,1.0,,,,,3.0,,
393_11,3.0,,,,,1.0,,
393_12,3.0,,,,,1.0,,
393_13,1.0,,,,,1.0,,
393_14,1.0,,,,,1.0,,
393_15,3.0,,,,,3.0,,
393_16,3.0,,,,,1.0,,
393_17,3.0,,,,,3.0,,
393_18,3.0,,,,,1.0,,
393_19,3.0,,,,,3.0,,
393_20,3.0,,,,,1.0,,
393_21,3.0,,,,,1.0,,
393_22,1.0,,,,,1.0,,
393_23,3.0,,,,,3.0,,
394_0,1.0,,,,,1.0,,
394_1,3.0,,,,,3.0,,
394_2,3.0,,,,,3.0,,
394_3,3.0,,,,,1.0,,
394_4,3.0,,,,,3.0,,
394_5,3.0,,,,,3.0,,
394_6,3.0,,,,,3.0,,
394_7,3.0,,,,,1.0,,
394_8,3.0,,,,,3.0,,
394_9,3.0,,,,,1.0,,
394_10,3.0,,,,,3.0,,
394_11,1.0,,,,,1.0,,
394_12,3.0,,,,,1.0,,
394_13,3.0,,,,,1.0,,
394_14,3.0,,,,,3.0,,
394_15,3.0,,,,,1.0,,
394_16,1.0,,,,,1.0,,
394_17,3.0,,,,,1.0,,
394_18,3.0,,,,,3.0,,
394_19,3.0,,,,,3.0,,
394_20,1.0,,,,,3.0,,
394_21,1.0,,,,,1.0,,
394_22,1.0,,,,,1.0,,
394_23,3.0,,,,,3.0,,
394_24,3.0,,,,,3.0,,
394_25,3.0,,,,,3.0,,
395_0,3.0,,,,,3.0,,
395_1,1.0,,,,,1.0,,
395_2,3.0,,,,,3.0,,
395_3,3.0,,,,,3.0,,
395_4,3.0,,,,,3.0,,
395_5,3.0,,,,,3.0,,
395_6,3.0,,,,,3.0,,
395_7,3.0,,,,,3.0,,
395_8,3.0,,,,,3.0,,
395_9,3.0,,,,,3.0,,
395_10,3.0,,,,,3.0,,
395_11,1.0,,,,,1.0,,
395_12,3.0,,,,,3.0,,
395_13,1.0,,,,,1.0,,
395_14,1.0,,,,,1.0,,
395_15,3.0,,,,,3.0,,
395_16,1.0,,,,,1.0,,
395_17,3.0,,,,,3.0,,
395_18,3.0,,,,,3.0,,
395_19,3.0,,,,,3.0,,
395_20,3.0,,,,,3.0,,
395_21,3.0,,,,,3.0,,
395_22,3.0,,,,,3.0,,
395_23,3.0,,,,,3.0,,
395_24,3.0,,,,,1.0,,
395_25,3.0,,,,,3.0,,
395_26,3.0,,,,,3.0,,
395_27,3.0,,,,,3.0,,
395_28,3.0,,,,,3.0,,
395_29,3.0,,,,,3.0,,
386_0,3.0,,3.0,,,,,
386_1,3.0,,3.0,,,,,
386_2,3.0,,3.0,,,,,
386_3,3.0,,3.0,,,,,
386_4,3.0,,3.0,,,,,
386_5,3.0,,3.0,,,,,
386_6,1.0,,3.0,,,,,
386_7,3.0,,3.0,,,,,
386_8,3.0,,3.0,,,,,
386_9,3.0,,3.0,,,,,
386_10,3.0,,3.0,,,,,
386_11,3.0,,3.0,,,,,
386_12,3.0,,3.0,,,,,
386_13,3.0,,3.0,,,,,
386_14,3.0,,3.0,,,,,
386_15,3.0,,3.0,,,,,
386_16,1.0,,3.0,,,,,
386_17,3.0,,3.0,,,,,
386_18,3.0,,3.0,,,,,
386_19,3.0,,3.0,,,,,
396_0,3.0,,,,,3.0,,
396_1,3.0,,,,,1.0,,
396_2,1.0,,,,,3.0,,
396_3,3.0,,,,,3.0,,
396_4,1.0,,,,,3.0,,
396_5,3.0,,,,,3.0,,
396_6,3.0,,,,,3.0,,
396_7,3.0,,,,,1.0,,
396_8,3.0,,,,,3.0,,
396_9,3.0,,,,,3.0,,
396_10,1.0,,,,,1.0,,
396_11,3.0,,,,,3.0,,
396_12,1.0,,,,,1.0,,
396_13,3.0,,,,,3.0,,
396_14,1.0,,,,,1.0,,
396_15,3.0,,,,,3.0,,
396_16,3.0,,,,,3.0,,
396_17,1.0,,,,,1.0,,
396_18,3.0,,,,,3.0,,
396_19,3.0,,,,,1.0,,
396_20,3.0,,,,,1.0,,
396_21,1.0,,,,,3.0,,
396_22,1.0,,,,,1.0,,
396_23,3.0,,,,,1.0,,
396_24,1.0,,,,,3.0,,
396_25,3.0,,,,,1.0,,
396_26,3.0,,,,,1.0,,
396_27,1.0,,,,,3.0,,
396_28,1.0,,,,,1.0,,
387_0,1.0,,1.0,,,,,
387_1,3.0,,3.0,,,,,
387_2,3.0,,3.0,,,,,
387_3,3.0,,3.0,,,,,
387_4,3.0,,3.0,,,,,
387_5,3.0,,3.0,,,,,
387_6,3.0,,3.0,,,,,
387_7,3.0,,3.0,,,,,
387_8,3.0,,3.0,,,,,
387_9,3.0,,3.0,,,,,
387_10,3.0,,3.0,,,,,
387_11,3.0,,3.0,,,,,
387_12,3.0,,3.0,,,,,
387_13,3.0,,3.0,,,,,
387_14,3.0,,3.0,,,,,
387_15,3.0,,3.0,,,,,
387_16,3.0,,3.0,,,,,
397_0,3.0,,,,,3.0,,
397_1,3.0,,,,,3.0,,
397_4,3.0,,,,,3.0,,
397_5,3.0,,,,,3.0,,
397_6,3.0,,,,,3.0,,
397_7,3.0,,,,,3.0,,
397_8,1.0,,,,,3.0,,
397_9,3.0,,,,,1.0,,
397_10,1.0,,,,,1.0,,
397_11,1.0,,,,,1.0,,
397_12,3.0,,,,,3.0,,
397_13,3.0,,,,,3.0,,
397_14,1.0,,,,,1.0,,
397_15,1.0,,,,,3.0,,
397_16,3.0,,,,,3.0,,
397_17,1.0,,,,,1.0,,
397_18,3.0,,,,,3.0,,
397_19,3.0,,,,,3.0,,
397_20,3.0,,,,,3.0,,
397_21,3.0,,,,,3.0,,
397_22,1.0,,,,,1.0,,
397_23,1.0,,,,,1.0,,
397_24,1.0,,,,,1.0,,
397_25,3.0,,,,,1.0,,
397_26,3.0,,,,,3.0,,
398_0,3.0,3.0,,,,,,
398_1,3.0,3.0,,,,,,
398_2,3.0,3.0,,,,,,
398_3,3.0,3.0,,,,,,
398_4,3.0,3.0,,,,,,
398_5,3.0,3.0,,,,,,
398_6,3.0,3.0,,,,,,
398_7,3.0,3.0,,,,,,
398_8,3.0,3.0,,,,,,
398_9,3.0,3.0,,,,,,
398_10,3.0,3.0,,,,,,
398_11,3.0,3.0,,,,,,
398_12,1.0,1.0,,,,,,
398_13,3.0,3.0,,,,,,
398_14,3.0,3.0,,,,,,
399_0,3.0,3.0,,,,,,
399_1,3.0,3.0,,,,,,
399_2,3.0,3.0,,,,,,
399_3,3.0,3.0,,,,,,
399_4,3.0,3.0,,,,,,
399_5,3.0,3.0,,,,,,
399_6,1.0,3.0,,,,,,
399_7,3.0,3.0,,,,,,
399_8,3.0,3.0,,,,,,
399_9,3.0,3.0,,,,,,
399_10,1.0,3.0,,,,,,
399_11,3.0,3.0,,,,,,
399_12,3.0,3.0,,,,,,
399_13,3.0,3.0,,,,,,
399_14,3.0,3.0,,,,,,
399_15,3.0,3.0,,,,,,
399_16,3.0,3.0,,,,,,
399_17,3.0,3.0,,,,,,
399_18,3.0,3.0,,,,,,
400_0,3.0,3.0,,,,,,
400_1,3.0,3.0,,,,,,
400_2,3.0,3.0,,,,,,
400_3,3.0,3.0,,,,,,
400_4,3.0,3.0,,,,,,
400_5,3.0,3.0,,,,,,
400_6,3.0,3.0,,,,,,
400_7,3.0,3.0,,,,,,
400_8,3.0,3.0,,,,,,
400_9,3.0,3.0,,,,,,
400_10,3.0,3.0,,,,,,
400_11,1.0,3.0,,,,,,
400_12,3.0,3.0,,,,,,
400_13,3.0,3.0,,,,,,
400_14,3.0,3.0,,,,,,
400_15,1.0,3.0,,,,,,
400_16,3.0,3.0,,,,,,
400_17,3.0,3.0,,,,,,
400_18,3.0,3.0,,,,,,
400_19,1.0,1.0,,,,,,
400_20,3.0,3.0,,,,,,
400_21,3.0,3.0,,,,,,
400_22,3.0,3.0,,,,,,
400_23,3.0,1.0,,,,,,
400_24,3.0,3.0,,,,,,
400_25,3.0,3.0,,,,,,
400_26,1.0,3.0,,,,,,
400_27,1.0,1.0,,,,,,
401_0,3.0,3.0,,,,,,
401_1,1.0,1.0,,,,,,
401_2,3.0,3.0,,,,,,
401_3,3.0,3.0,,,,,,
401_4,3.0,3.0,,,,,,
401_5,3.0,3.0,,,,,,
401_6,3.0,1.0,,,,,,
401_7,3.0,3.0,,,,,,
401_8,1.0,3.0,,,,,,
401_9,1.0,1.0,,,,,,
401_10,3.0,3.0,,,,,,
401_11,3.0,3.0,,,,,,
401_12,3.0,3.0,,,,,,
401_13,1.0,1.0,,,,,,
401_14,3.0,3.0,,,,,,
401_15,3.0,3.0,,,,,,
401_16,3.0,3.0,,,,,,
401_17,1.0,3.0,,,,,,
401_18,3.0,3.0,,,,,,
401_19,3.0,3.0,,,,,,
402_0,3.0,3.0,,,,,,
402_1,3.0,3.0,,,,,,
402_2,3.0,3.0,,,,,,
402_3,3.0,3.0,,,,,,
402_4,3.0,3.0,,,,,,
402_5,3.0,3.0,,,,,,
402_6,3.0,3.0,,,,,,
402_7,3.0,3.0,,,,,,
402_8,3.0,3.0,,,,,,
402_9,3.0,3.0,,,,,,
403_0,1.0,1.0,,,,,,
403_1,3.0,3.0,,,,,,
403_2,1.0,1.0,,,,,,
403_3,1.0,1.0,,,,,,
403_4,3.0,3.0,,,,,,
403_5,3.0,3.0,,,,,,
403_6,3.0,3.0,,,,,,
403_8,3.0,3.0,,,,,,
403_9,1.0,1.0,,,,,,
403_10,3.0,3.0,,,,,,
403_11,3.0,3.0,,,,,,
403_12,3.0,3.0,,,,,,
403_13,3.0,3.0,,,,,,
403_14,3.0,3.0,,,,,,
403_15,3.0,3.0,,,,,,
403_16,3.0,3.0,,,,,,
403_17,3.0,3.0,,,,,,
403_18,3.0,3.0,,,,,,
403_19,3.0,3.0,,,,,,
404_0,3.0,3.0,,,,,,
404_1,3.0,3.0,,,,,,
404_2,1.0,1.0,,,,,,
404_3,3.0,3.0,,,,,,
404_4,1.0,3.0,,,,,,
404_5,1.0,3.0,,,,,,
404_6,3.0,3.0,,,,,,
